Writer	Rate	Date	Contents
Alyessa King	3	November 14, 2020	It cuts out A LOT and turns when I am trying to go straight and sometimes it turns the opposite direction that I'm trying to go to so I am going to delete it so I would not download it if you are trying to.
Chris Quinn	1	November 14, 2020	I hate it
Chad Trimle	5	November 14, 2020	Cool idea base apron some else idea
Jesse Roman	5	November 14, 2020	It is really fun and you go to the finished line really fast And sometimes you win
James Bednarik	1	November 14, 2020	Games entertaining but ads everywhere! I enjoyed the game at first but I have now found out that at the end of a match you have the option to continue or watch an ad for 3x the coins... If you choose to not watch the ad and just continue you still get a 30 second ad... Your better off taking the extra coins since you have to watch it anyway. would be a regular game of mine if the development team wasn't so greedy and just made use want to get the extra coins for skins or to unlock a course
Gbenga Dairo	5	November 14, 2020	It was fine and the race are good
Eric	1	November 14, 2020	Too many ads. No sound.
Phyo Nyi Htwe	3	November 14, 2020	Good
L. Perego	1	November 14, 2020	10 sec or less of playing for 30 sec Ad, you always start last, and always against BOTs.
Drake Roberts	1	November 14, 2020	do something to make your game more pouplar plz because i am vs AI
Kadelyn Flores	5	November 14, 2020	I love it
Rahela Matokovic	5	November 14, 2020	So cool game.
oghosa Obaseki	3	November 14, 2020	Nice
Dark Vr	5	November 14, 2020	It's very easy to get used to that is why I like it and it is fun 😘😘
Reyno van Niekerk	5	November 14, 2020	good game
Laura Thompson	1	November 14, 2020	This game is not good. Its unique but that is the only good thing. Your person moves far to fast. Its lagy and you always start at the back. I think this game is bad. Do not downlode it. Its a waste of time😠😠😠😤😤😤
Back To 80's	3	November 14, 2020	Stop it with the ads. It gets really annoying.
Emma Mulholland	2	November 14, 2020	It's glitchy but it's my favorite game Because it's voodoo
Keisha Graves	5	November 14, 2020	Um I Like JUST download this and like it's like OMG to amazing
Hussain 3li	5	November 14, 2020	Nice game
Adam Bomb	4	November 14, 2020	You can unlock everything in about an hour, ads or no You clearly play against bots There is a some strategy, but it is very hard to lose
Mark Mann	5	November 14, 2020	Hard but fun
Joshuah - 2000 -	4	November 14, 2020	You make a lot of games, impressive! The only issue with your games is, while they are fun to play at first, people tend to loose interest in them quickly, uninstall, and go searching for something else instead. I lost interest after about the 4th level into this game. It's just the same old same old. There's nothing new. Take your time! When was the last time you actually put your heart and soul into one game that players will love? You guys can do better, I know you can. Best of luck! - Josh
Happy Khambh	5	November 14, 2020	I like this game
Nova gacha	4	November 14, 2020	ITS AWESOME
Ashley Pedersen	1	November 14, 2020	Terrible company that churn out games and but ridiculous amount of ads in them. Every match, which lasts 20 seconds, is followed by an ad. Don't download VOODOO games. It's just not worth it
Javon Wright	4	November 14, 2020	Fun
Audrey Devin	1	November 14, 2020	This game is the worst he I've ever had I definitely don't recommend it if you get it you will hate it
Brandon Moua	2	November 14, 2020	U make it look like it's hard when it's clearly not but who cares it's still entertaining
Raul Charles	4	November 14, 2020	Fun game cool game. But lots Ads...
Jemmy Abunales	5	November 14, 2020	The game is cool
Zero Eight	1	November 14, 2020	Words fail me, this is bad
sayori	3	November 14, 2020	Wew
Rico Micky	1	November 14, 2020	I wouldn't have even toutched this game if you couldn't play offline without ads. Even without ads, very bad controls and lag make it unplayable.
winergamer and bmx ar	5	November 14, 2020	Os funny and fun to play you need the game if you do not like it is ok you will like the game please play it is fun
Ralph Laurence Guevarra	1	November 14, 2020	THIS IS NAT OK
tiktok kids	1	November 14, 2020	It's not installing Worst app
Shikyoin	3	November 14, 2020	The game is interesting,but it have too much ads if not it will be great
htun maung	5	November 14, 2020	Good
lance. drake pajarilla	5	November 14, 2020	Yes ahsnljt play
Red De Mesa	4	November 14, 2020	BTS King
Angelie Yang	1	November 14, 2020	Its trash. DO NOT DOWNLOAD IT!!!! Ir will tell you to swipe to turn but whrn you do it turns too much and you die and fall into the water. And its too laggy and glitchy. DO NOT DOWBLOAD
Candido Rojas	1	November 14, 2020	I hate this game it's like one of those games that they put the least effort in it . Super cheap imposible to win never install This game you will regret it. & it makes me want to throw up🤢🤮
riarkle_always	1	November 14, 2020	The controls are set up hard to function so I end up losing for no reason
jomar614 loticio	5	November 14, 2020	dis game is buetiful
Gustaf Sand	3	November 14, 2020	Good concept, but way too many ads. One after every game played. And doesn't seem like I'm playing online, which isn't fun.
Google Account	1	November 14, 2020	This game has the absolute worst ad ever. Like god damn stop showing it to me.
SHREYANSH PANDAY	5	November 14, 2020	Nice
Yazmin Laurenti	3	November 14, 2020	It,s cool
rae faig	5	November 14, 2020	AM MAKEING A TIK TOK ABOUT THIS GAME PLAY IT NOWWW
M rangaiah	5	November 14, 2020	VERY MIM PRISING MIND BLOWING GAME
ABDUL KAREEM AHMED KHAN	1	November 14, 2020	This is a Bad Game Don't Download it!
U Ali	5	November 14, 2020	Noice
Rahim Damji	5	November 14, 2020	I it superduper stortcutty and so much fun and I gave your app 5 stars
Yyy Gccc	5	November 14, 2020	ျမန္ျမန္လုပ္
sunshine Charlie	4	November 14, 2020	It's fun and all tho there is bots not in a bad way just fake characters there also is alot of adds but I guess every game has that I would recommend it tho
Eleyn Fajota	5	November 14, 2020	I love this one
amberpet manasvi	5	November 14, 2020	Sai chinu
Tandra Lanier	3	November 14, 2020	I really enjoy cheap games but this one I'm not digging it bruh I love games were you just face but this one not so much
PMD2007 PMD2007	1	November 14, 2020	Booooooooooo
myosanaung sanaung	5	November 14, 2020	Good games
Mugisha Billgate	5	November 14, 2020	Carry bricks put on water so cool
Jamie Williams	5	November 14, 2020	Leianna Williams
ihdina thearrow	5	November 14, 2020	Good dise game😭😊😊😊😊😂😊😊
MANJU G S	5	November 14, 2020	chenagilla
c velmurugan	5	November 14, 2020	Ugghjjy tu iyiq to toh toh A toh a, tung a GMC tong tincturing tithun
Eli M.	1	November 14, 2020	It asks me for a rating. Lol here it is
princesscarmelajhanine fortuna	5	November 14, 2020	this is sooooo coooolllll omgggg soooo cooollll
Amithossein Zarqami	5	November 14, 2020	کیری
Angelique De Beer	1	November 14, 2020	It is really boring and keeps doing ads
Aung Aung	1	November 14, 2020	Huto
Ricardo Flores	5	November 14, 2020	It is fun and when I die I am still happy but to much ads
Abdulwahab Kadi	1	November 14, 2020	Ads with some play seconds. It's an Ads trap guys don't download it.
Novemia Pasuquin	4	November 14, 2020	Its need sound...and cool i just need a sound for this
Ronit Jobanputra	4	November 14, 2020	The product's idea is pretty good and it has been fairly goodly developed. However, the game kinda does lag and there is an ad after each and every level which is kind of irritating but I liked the concept of the game. Voodoo please work a bit more on your game. :)
Jimmy Winkelmann	1	November 14, 2020	Way too easy played about 20 rounds and never lost
Andile Masilela	5	November 14, 2020	Nice game, time consumer
IgotJuice	5	November 14, 2020	I have installed this game today and I really enjoyed my time playing this game. It is really easy, not too complicated to the point it'll stress you out, and it is fun! I absolutely love this game and if anybody is reading this review, I would suggest downloading this game to play in your free time :)
Jesler Molina	4	November 14, 2020	It is competitive but there is not ranking or other challenges
Narasimha Rao	1	November 14, 2020	I didn't like this game
